Date,Consumer,Manuf,HiTec,Hlth
2021-08-16,18610.121397879473,14937.944446444866,26425.123575124,43003.71498806063
2021-08-17,18504.04370591156,14746.738757530371,26187.29746294788,43524.05993941616
2021-08-18,18254.239115881755,14593.372674452055,25904.474650348042,42953.89475420981
2021-08-19,18301.700137583048,14479.544367591328,26046.949260924957,42876.57774365223
2021-08-20,18305.360477610564,14541.806408371971,26390.76899116917,43262.4669433451
2021-08-23,18310.852085753846,14695.949556300713,26741.766218751723,43703.744106167214
2021-08-24,18277.89255199949,14775.307683904737,26830.014047273606,43559.52175061686
2021-08-25,18301.65381231709,14832.931383871966,26875.625071153972,43502.89437234106
2021-08-26,18155.240581818554,14748.383674983896,26730.496695769743,43315.83192654
2021-08-27,18265.987549367648,14919.464925613709,27048.589606449405,43406.795173585735
2021-08-30,18306.172721976258,14907.529353673217,27329.894938356476,43623.82914945366
2021-08-31,18308.003339248455,14834.482459840217,27198.711442652366,43658.72821277322
2021-09-01,18421.512959951793,14821.131425626361,27263.98835011473,43728.58217791366
2021-09-02,18452.829531983713,14914.504553607807,27274.893945454776,44174.61371612838
2021-09-03,18406.697458153754,14847.389283116572,27400.358457603867,44139.27402515547
2021-09-07,18160.047712214495,14655.857961364369,27383.918242529304,43883.26623580957
2021-09-08,18252.663955546792,14610.42480168414,27208.661165777117,43751.616437102144
2021-09-09,18227.110226009027,14614.807929124645,27124.314316163207,43300.97478779999
2021-09-10,18225.287514986427,14573.886466923095,26866.633330159657,42993.53786680661
2021-09-13,18261.7380900164,14601.57685121025,26831.70670683045,42550.7044267785
2021-09-14,18144.862966240296,14461.40171343863,26794.14231744089,42406.03203172746
2021-09-15,18266.433548114106,14579.985207488828,27024.57194137088,42668.949430324166
2021-09-16,18237.207254437122,14482.299306598652,27043.48914172984,42651.88185055204
2021-09-17,18105.899362205175,14331.683393810026,26729.78466768577,42622.02553325665
2021-09-20,17904.9238792847,14099.510122830305,26200.53493126559,42033.84158089771
2021-09-21,17852.999600034775,14030.422523228435,26260.796161607497,42235.60402048601
